atr_period,k_atr_int,uptail_max_ratio_int,previous_weight_int,n_bar_breakout,return_pct
20,31,6,52,6,-2.0864100104995886
20,38,6,36,14,-1.6544019705998942
21,24,6,22,12,-3.3193339580996835
21,26,6,16,11,-2.716965450699907
21,32,6,53,8,-1.7031145419996174
22,22,6,40,10,-8.107914348999504
22,30,6,26,8,-1.6176589062999263
22,38,6,47,2,1.9635077459001768
23,24,6,23,16,-4.058140325899687
23,25,6,33,4,-3.565199145399514
24,36,6,20,19,-4.396943791399899
25,31,6,30,3,-0.17428116309987673
25,37,6,31,8,-3.542315763699866
26,20,6,15,17,-2.216199377599609
26,25,6,45,7,-6.099778224199312
26,38,6,22,2,-2.7444173807999177
26,39,6,53,4,-0.3998333647997788
26,41,6,18,10,-2.9616387053999933
27,22,6,50,10,-11.122573921999471
27,40,6,54,7,-0.5882632573998853
28,28,6,23,4,-0.2840630330998829
28,35,6,41,8,0.4281989524001692
28,38,6,21,6,-3.4802632993999576
28,42,6,16,12,-3.5165065243999267
29,30,6,38,12,0.3549550936002779
29,36,6,34,19,-0.4743307790999097
30,22,6,29,12,-4.915386277199519
31,21,6,23,4,-2.878777097899161
31,32,6,27,20,-0.28627601119992324
32,30,6,32,15,-1.4235095823997255
32,33,6,50,15,0.5058736211003998
32,35,6,26,16,-1.171983354599899
32,41,6,14,8,-3.7522015456999362
33,21,6,25,9,-6.370211743299209
34,35,6,18,6,-4.927610793499887
34,41,6,14,5,-2.480861791199917
34,42,6,57,18,-0.10600311059980594
35,33,6,35,19,-0.4149409687998413
35,33,6,59,17,-3.3464897490996086
35,39,6,27,6,-3.8883314681999472
35,39,6,38,6,-1.0036961820999275
35,39,6,39,6,-0.09790075819983031
35,39,6,46,6,0.397257660400137
35,39,6,56,8,-0.4023202430997189
37,39,6,35,6,-0.10226291199987464
37,39,6,36,6,-0.32605576659990765
38,39,6,34,6,-0.015091751399857458
38,39,6,41,6,1.1663706880001263
38,39,6,57,6,-0.11247913099966536
38,41,6,26,16,-3.223373556699924
39,20,6,54,13,-9.967301755699634
39,22,6,16,16,-1.9026686575995992
39,25,6,44,15,-3.2611157186993514
39,37,6,51,15,-1.4324778123996076
39,40,6,47,9,-0.6924466725998791
40,39,6,41,6,0.890836752300107
41,33,6,14,4,-3.2032078780999
41,41,6,32,10,-4.0912685758999
42,30,6,31,7,-1.9339449350997309
43,34,6,44,16,-0.11488641299962184
43,37,6,20,7,-4.22618136459992
44,21,6,33,15,-7.15033013979948
44,28,6,34,7,-0.8652892129997054
44,40,6,48,2,1.3090677614001178
45,25,6,38,3,-3.409473811899428
45,34,6,45,8,-0.3737226639996079
45,41,6,53,10,-1.0723944877998002
46,27,6,59,11,-5.74948336339969
47,25,6,33,3,-2.5315883134996113
47,25,6,44,13,-3.631678246699593
47,28,6,38,14,0.34005560990032974
47,37,6,51,17,0.12528622230036124
47,41,6,31,15,-2.9666091683999545
48,23,6,32,15,-4.377702299099386
48,24,6,16,14,-2.0678262369997973
49,25,6,50,8,-6.241442678399646
49,33,6,40,20,0.2837402495002025
49,37,6,22,10,-3.2231495898999567
49,39,6,59,7,-0.7960574555995263
50,34,6,38,8,-2.3949644889997437
51,29,6,41,6,-1.4126458871996728
53,23,6,48,11,-9.383427266899453
53,31,6,53,11,-2.919928313799668
54,32,6,15,7,-4.014767322199899
54,34,6,50,2,0.48968326300026094
54,38,6,53,15,-0.4915297427996848
55,34,6,20,18,0.15336573830014097
55,42,6,43,15,0.992293921700213
56,27,6,21,20,-0.968450376099936
56,33,6,49,8,-0.388433243499705
56,36,6,58,9,-1.5795206273997175
56,42,6,27,13,-3.4954683663999315
56,42,6,58,12,-2.019070355099757
57,30,6,58,6,-3.902186849799473
57,32,6,48,9,-1.2870664409998134
57,37,6,21,16,-1.9832883785999147
59,29,6,42,12,-1.1366755186996453
59,39,6,60,9,-1.419707173199553
60,22,6,33,13,-5.990391477499448
60,32,6,31,14,-1.2341793203997222
60,39,6,27,16,-0.48039864389989817
60,41,6,34,15,-0.5288584021999122
61,29,6,11,19,-1.12466886529974
62,42,6,31,12,-3.6035395258999197
63,22,6,38,2,-9.207461920299291
63,37,6,59,16,-0.3199670401996409
64,20,6,40,9,-12.53116846549936
64,35,6,27,11,-1.2409171834998414
64,39,6,42,15,0.7723542784002202
65,23,6,30,15,-3.9037352181994645
65,31,6,18,2,-1.9108521493997686
65,33,6,27,10,-2.202761058399876
65,42,6,47,10,0.5029857297001581
66,29,6,18,18,-0.27258126029980484
66,31,6,49,4,-1.9228183305996644
66,32,6,45,12,0.5512862851002573
66,42,6,23,7,-3.628083539299929
67,26,6,35,10,-3.3018601496997584
68,22,6,59,18,-8.301990195199469
68,37,6,41,14,-0.21083307809973487
68,41,6,39,20,1.4482977146001503
69,26,6,51,9,-7.069760258299532
69,37,6,34,15,0.3460885216002207
69,40,6,39,13,0.9608389485001971
70,29,6,51,12,-3.2927746033996232
70,29,6,55,3,-4.1474018543993445
70,30,6,46,13,-1.0803107227996953
70,33,6,48,7,-1.583592492599535
71,39,6,20,9,-4.325724680999935
71,39,6,37,15,1.2157569445001863
71,41,6,42,15,1.1127562903002108
72,26,6,49,5,-3.839489701099403
72,36,6,43,13,-1.2888614152997762
72,39,6,40,18,1.2978449352002062
73,21,6,29,18,-4.954359605399455
73,42,6,30,18,-2.1711485250998956
73,42,6,43,19,1.865546597400127
74,24,6,58,3,-10.37921800009899
74,26,6,33,18,-2.6979988669997548
74,30,6,19,12,-0.7356257736998377
74,36,6,38,15,-0.6720079967997881
74,38,6,44,19,0.1236180230001919
74,39,6,59,18,-0.20710184309959004
75,40,6,42,18,1.3373366227002408
75,41,6,43,14,1.3941164768002199
76,26,6,27,13,-0.6757614202996483
76,33,6,44,6,-1.8208698137994652
76,41,6,39,15,0.9650083152001897
77,39,6,38,18,1.3887153344001855
77,40,6,41,19,1.4712598806001769
77,41,6,25,20,-3.164265389999913
