atr_period,k_atr_int,uptail_max_ratio_int,previous_weight_int,n_bar_breakout,return_pct
77,41,6,55,4,1.0314693017002572
78,32,6,35,9,-2.61472684519981
78,33,6,32,13,-1.8974873902997205
78,39,6,38,15,1.1127961154001969
78,39,6,55,9,-2.8626714074996706
78,40,6,34,16,1.1102641527001542
78,40,6,54,7,-0.4918464312997676
78,41,6,47,15,0.9432157019002481
78,42,6,31,15,-1.057557125499996
78,42,6,41,16,1.1093638704002224
78,42,6,60,16,0.45438977650036394
79,28,6,54,15,-2.3218150958994372
79,41,6,11,5,-3.2797232873999023
79,41,6,53,20,0.6979136828002375
79,42,6,49,18,1.137539766200207
80,42,6,35,20,2.2629159706001083
80,42,6,38,20,1.692108282500165
80,42,6,44,20,1.756843805500146
80,42,6,54,2,1.0707515003002919
80,42,6,60,20,0.35621036670026657
81,35,6,48,20,-0.10094532059975608
81,40,6,35,16,0.9965400420001824
81,41,6,39,16,1.199959152400217
81,42,6,24,20,-3.1450422833999037
82,29,6,23,8,-2.0775016694998634
82,30,6,15,15,-0.25776828609983204
82,35,6,16,9,-3.541055881999928
82,37,6,44,14,-0.7093489385997964
82,38,6,39,16,0.5695347190001776
82,39,6,22,15,-2.0956010800999505
82,40,6,44,16,1.1443021857002313
82,41,6,38,10,0.008220791100146016
82,41,6,39,16,1.1093638704002224
82,41,6,42,16,1.476810310100249
82,41,6,43,16,1.5318226781002158
82,42,6,38,18,1.6488869735001355
82,42,6,48,19,1.2257776577002077
83,26,6,35,4,-3.2610917553996552
83,33,6,21,10,-2.4475575514998056
83,41,6,21,16,-3.452709390299918
83,41,6,37,16,1.4103119252001926
83,41,6,40,16,1.8157761443001945
83,41,6,41,16,1.6616708265001798
83,41,6,44,15,1.2448709276002339
83,41,6,46,16,1.066151535700279
83,42,6,16,10,-5.19316159769996
83,42,6,40,20,1.6217074375001683
84,37,6,37,17,0.1605265746001678
84,38,6,60,18,-0.6054570514995721
84,42,6,31,20,-1.003194602799951
84,42,6,48,19,1.2257776577002077
85,29,6,19,11,-1.5139496473998442
85,40,6,38,7,0.039428816100145925
85,40,6,44,19,1.2240255749002098
85,42,6,25,19,-3.2750439683999435
85,42,6,27,19,-2.475736964099895
85,42,6,42,19,1.755020404200157
85,42,6,45,18,1.5445643940002192
85,42,6,60,19,0.613494259300307
86,24,6,23,8,-3.495910744299661
86,29,6,40,2,-1.5176451453997288
86,37,6,40,13,-0.832576555499807
86,38,6,38,17,0.3990313537001493
86,42,6,39,16,1.600154873600186
86,42,6,47,19,1.5528937623002277
86,42,6,55,19,0.5712520886002167
88,24,6,39,17,-6.107818838799547
88,27,6,53,13,-3.7064496790996055
88,32,6,19,6,-3.6979458511997945
88,37,6,38,17,0.22684746250018362
88,38,6,39,15,-0.15916388809982163
88,42,6,40,20,1.4145759877001838
89,39,6,49,10,-1.5169405343998223
89,42,6,44,14,1.2804485402002028
90,23,6,44,15,-5.976224813599663
90,33,6,40,13,-1.0832050057996967
90,33,6,48,11,-1.2950872393996689
90,36,6,19,7,-2.0596272225998837
90,36,6,28,19,0.9392464889001275
90,37,6,38,18,0.39433090430017914
90,41,6,44,19,1.3711685918002332
90,42,6,33,19,0.7680751407001517
90,42,6,48,20,1.84925432560021
90,42,6,59,20,0.693303522600254
91,29,6,30,3,-0.2775520368996804
91,33,6,55,10,-2.946738525899724
91,41,6,42,15,1.2888714497001927
91,41,6,50,19,1.276443989200241
91,42,6,46,20,1.724145271800182
92,33,6,47,9,-3.0181023698994833
92,34,6,41,18,-1.522546953099736
92,37,6,42,18,0.34253265970022767
92,39,6,40,20,1.0771924074001435
92,41,6,17,3,-2.378499485299937
92,41,6,34,18,2.045950069900078
92,42,6,38,20,1.8357436168001586
92,42,6,42,13,0.9074021060002269
93,32,6,12,17,-1.6961572212998144
93,33,6,16,10,-2.1024922865997944
93,35,6,25,19,0.9463463609001483
93,37,6,32,5,0.4317261133001739
93,42,6,43,20,1.7183813814001188
93,42,6,46,20,1.6568470538002003
94,21,6,27,17,-6.15218541909958
94,29,6,52,5,-2.7150794915993317
94,42,6,26,20,-2.9727306201999015
94,42,6,31,20,-0.4601277222999342
94,42,6,39,20,1.8357436168001586
94,42,6,41,19,1.1043332513001805
94,42,6,48,20,1.84925432560021
94,42,6,49,20,1.224754110900205
95,41,6,40,16,1.734026441300215
95,42,6,18,20,-3.3701369301999367
95,42,6,20,20,-2.8799085631999186
95,42,6,30,20,-0.8752385537999362
95,42,6,34,20,2.227313606600088
95,42,6,48,20,1.84925432560021
96,38,6,11,9,-5.750493920099966
96,38,6,39,16,0.12939528500016603
96,38,6,43,16,0.7330160655002547
96,42,6,23,20,-2.907229531199904
96,42,6,25,20,-3.18948938239993
96,42,6,26,20,-1.5673376686998963
96,42,6,28,20,-1.1279220452999434
96,42,6,29,20,-1.4292009239999315
96,42,6,33,20,1.6782992649001391
96,42,6,34,20,2.227313606600088
96,42,6,36,20,1.9618625874001445
96,42,6,40,20,1.4933720603001566
96,42,6,41,20,1.1943929823001527
96,42,6,42,20,1.8306495588001417
96,42,6,47,20,1.8179962498002133
96,42,6,48,20,1.84925432560021
97,31,6,47,10,-1.721314710099672
97,42,6,37,20,1.7853411432001594
97,42,6,38,20,1.7558794302001623
97,42,6,39,20,1.8357436168001586
97,42,6,40,20,1.4933720603001566
97,42,6,42,20,1.8306495588001417
97,42,6,43,20,1.7665396634001371
97,42,6,47,20,1.8179962498002133
97,42,6,48,20,1.84925432560021
97,42,6,49,20,1.224754110900205
97,42,6,54,20,1.1035439357002326
97,42,6,58,20,0.09833079350020851
98,30,6,21,12,-1.047142387299813
98,30,6,46,5,-1.1826164974995625
98,30,6,56,10,-4.72054386279959
98,37,6,48,19,-0.9175845437997197
98,41,6,45,5,2.5313547009003083
98,42,6,19,20,-2.8799085631999186
98,42,6,22,20,-2.952349099199899
98,42,6,23,20,-2.907229531199904
98,42,6,24,20,-3.0486164981999173
98,42,6,25,20,-2.898678441199896
98,42,6,26,20,-1.2667778501998839
98,42,6,28,20,-1.1279220452999434
98,42,6,29,20,-0.8752385537999362
98,42,6,30,20,-0.8752385537999362
98,42,6,31,20,-0.24267596639989644
98,42,6,32,20,-0.15435047059993667
98,42,6,33,20,1.6782992649001391
98,42,6,35,20,2.1400880391001262
98,42,6,36,20,1.9618625874001445
98,42,6,38,20,1.7558794302001623
98,42,6,39,20,1.7321880222001782
98,42,6,40,20,1.4933720603001566
98,42,6,41,20,1.0920093233001682
98,42,6,43,20,1.7665396634001371
98,42,6,44,20,1.7183813814001188
98,42,6,45,20,1.5670847137001838
98,42,6,46,20,1.6568470538002003
98,42,6,47,20,1.8179962498002133
98,42,6,50,20,1.2444206612002306
98,42,6,51,20,1.1244221048002654
98,42,6,52,20,1.7242131921002293
98,42,6,55,6,0.5152997177002399
99,28,6,53,13,-3.1615504775994925
99,37,6,39,14,0.15026293200020155
99,42,6,17,20,-3.5332742689999286
99,42,6,34,20,2.227313606600088
99,42,6,35,20,2.1400880391001262
99,42,6,36,20,1.9618625874001445
99,42,6,37,20,1.7853411432001594
99,42,6,38,20,1.7558794302001623
99,42,6,39,20,1.7321880222001782
99,42,6,40,20,1.4933720603001566
99,42,6,41,20,1.0920093233001682
99,42,6,42,15,1.3224497667001998
99,42,6,42,20,1.7665396634001371
99,42,6,43,20,1.7665396634001371
99,42,6,44,20,1.7183813814001188
99,42,6,45,20,1.5670847137001838
99,42,6,46,20,1.6568470538002003
99,42,6,47,20,1.8179962498002133
99,42,6,49,20,1.284287272900212
99,42,6,50,20,1.2444206612002306
99,42,6,54,20,1.1035439357002326
99,42,6,55,20,1.0069754768002022
99,42,6,59,15,-0.12524714269961987
100,32,6,10,20,-1.5488378260998288
100,33,6,60,15,-2.196562670299623
100,38,6,60,17,-0.9262260391996824
100,39,6,60,20,0.4934227970003267
100,42,6,13,20,-3.8386294623999424
100,42,6,14,20,-4.100798787399937
100,42,6,15,20,-4.136600534399957
100,42,6,16,20,-4.15024679939993
100,42,6,17,20,-3.5332742689999286
100,42,6,18,20,-3.3701369301999367
100,42,6,19,20,-2.7541476811999166
100,42,6,20,20,-2.7541476811999166
100,42,6,21,20,-2.814065248199913
100,42,6,22,20,-2.952349099199899
100,42,6,23,20,-2.907229531199904
100,42,6,24,20,-2.945366916199928
100,42,6,25,20,-2.898678441199896
100,42,6,26,20,-0.948298675199898
100,42,6,27,20,-1.4547399757999082
100,42,6,28,20,-0.7149534812999482
100,42,6,29,20,-0.8752385537999362
100,42,6,30,20,-0.8752385537999362
100,42,6,31,20,-0.2455259471999016
100,42,6,32,20,-0.15435047059993667
100,42,6,33,20,1.5961636209001155
100,42,6,34,20,2.227313606600088
100,42,6,35,20,2.1400880391001262
100,42,6,36,20,1.8638417919001222
100,42,6,37,20,1.8253808638001356
100,42,6,38,20,1.7558794302001623
100,42,6,39,20,1.7321880222001782
100,42,6,40,20,1.4933720603001566
100,42,6,41,19,1.0084922163001755
100,42,6,41,20,1.0920093233001682
100,42,6,42,20,1.7665396634001371
100,42,6,43,20,1.7665396634001371
100,42,6,44,20,1.6663214994001172
100,42,6,45,20,1.5670847137001838
100,42,6,46,18,1.677857592300221
100,42,6,46,20,1.8661546978002153
100,42,6,47,20,1.8179962498002133
100,42,6,48,20,1.5699911391002095
100,42,6,49,20,1.284287272900212
100,42,6,50,20,1.2444206612002306
100,42,6,52,20,1.7242131921002293
100,42,6,53,20,1.303173354200233
100,42,6,54,20,1.1035439357002326
100,42,6,55,20,1.0731865722002258
100,42,6,56,19,0.2635106078002136
100,42,6,56,20,0.625109414400169
100,42,6,57,20,0.8580096946002014
100,42,6,58,20,0.2406528339002398
100,42,6,59,20,0.6999452652002656
100,42,6,60,20,0.024490151600315584
