entry_date,exit_date,entry_price,exit_price,size,pnl,direction
2025-06-30 09:05:00+00:00,2025-06-30 09:10:00+00:00,3281.624,3282.9,30,-38.28,short
2025-06-30 12:20:00+00:00,2025-06-30 12:25:00+00:00,3284.849,3284.39,30,-13.77,long
2025-06-30 19:15:00+00:00,2025-06-30 19:20:00+00:00,3306.15,3304.93,30,-36.6,long
2025-06-30 22:50:00+00:00,2025-06-30 22:55:00+00:00,3311.94,3311.42,30,-15.6,long
2025-07-01 05:10:00+00:00,2025-07-01 05:30:00+00:00,3328.293,3331.476,30,95.49,long
2025-07-01 23:00:00+00:00,2025-07-01 23:05:00+00:00,3337.186,3338.12,29,-27.09,short
2025-07-02 00:00:00+00:00,2025-07-02 00:05:00+00:00,3336.94,3342.406,29,-158.51,short
2025-07-02 07:45:00+00:00,2025-07-02 07:50:00+00:00,3336.263,3335.74,29,-15.17,long
2025-07-02 23:00:00+00:00,2025-07-02 23:05:00+00:00,3359.08,3357.843,29,35.87,short
2025-07-03 00:00:00+00:00,2025-07-03 00:10:00+00:00,3345.95,3346.19,29,-6.96,short
2025-07-03 05:50:00+00:00,2025-07-03 05:55:00+00:00,3359.953,3359.23,29,-20.97,long
2025-07-03 06:00:00+00:00,2025-07-03 06:05:00+00:00,3363.54,3360.36,29,-92.22,long
2025-07-03 12:35:00+00:00,2025-07-03 12:50:00+00:00,3319.99,3321.32,30,-39.9,short
2025-07-03 22:00:00+00:00,2025-07-03 22:05:00+00:00,3324.573,3324.56,29,0.38,short
2025-07-04 09:30:00+00:00,2025-07-04 09:45:00+00:00,3334.86,3336.07,29,-35.09,short
2025-07-06 22:00:00+00:00,2025-07-06 22:05:00+00:00,3341.38,3337.87,29,-101.79,long
2025-07-07 01:05:00+00:00,2025-07-07 01:25:00+00:00,3317.77,3312.09,29,164.72,short
2025-07-07 10:40:00+00:00,2025-07-07 10:45:00+00:00,3298.45,3302.854,30,-132.12,short
2025-07-07 22:05:00+00:00,2025-07-07 22:10:00+00:00,3342.682,3344.213,29,44.4,long
2025-07-08 08:05:00+00:00,2025-07-08 08:10:00+00:00,3328.73,3327.87,29,24.94,short
2025-07-08 13:45:00+00:00,2025-07-08 14:20:00+00:00,3316.09,3301.49,30,438.0,short
2025-07-08 23:40:00+00:00,2025-07-08 23:45:00+00:00,3298.066,3300.72,30,-79.62,short
2025-07-09 00:00:00+00:00,2025-07-09 00:05:00+00:00,3306.29,3305.91,30,-11.4,long
2025-07-09 23:00:00+00:00,2025-07-09 23:05:00+00:00,3317.89,3317.68,30,6.3,short
2025-07-10 13:00:00+00:00,2025-07-10 13:05:00+00:00,3326.855,3326.02,30,-25.05,long
2025-07-11 00:30:00+00:00,2025-07-11 00:45:00+00:00,3332.36,3334.12,29,51.04,long
2025-07-11 05:20:00+00:00,2025-07-11 05:30:00+00:00,3338.79,3337.523,29,-36.74,long
2025-07-11 06:15:00+00:00,2025-07-11 06:30:00+00:00,3341.62,3341.435,29,-5.36,long
2025-07-13 22:10:00+00:00,2025-07-13 22:15:00+00:00,3365.95,3365.81,29,-4.06,long
2025-07-14 12:20:00+00:00,2025-07-14 12:45:00+00:00,3359.77,3350.046,29,282.0,short
2025-07-15 02:05:00+00:00,2025-07-15 02:25:00+00:00,3348.89,3350.13,29,35.96,long
2025-07-15 08:15:00+00:00,2025-07-15 08:30:00+00:00,3358.648,3361.333,29,-77.86,short
2025-07-15 15:25:00+00:00,2025-07-15 15:40:00+00:00,3334.085,3331.229,30,85.68,short
2025-07-16 10:55:00+00:00,2025-07-16 11:00:00+00:00,3334.843,3334.565,30,8.34,short
2025-07-16 12:15:00+00:00,2025-07-16 12:20:00+00:00,3334.96,3336.15,30,-35.7,short
2025-07-16 14:50:00+00:00,2025-07-16 15:15:00+00:00,3335.346,3369.49,30,1024.32,long
2025-07-16 15:30:00+00:00,2025-07-16 15:35:00+00:00,3373.615,3367.92,30,-170.85,long
2025-07-16 15:55:00+00:00,2025-07-16 16:00:00+00:00,3343.448,3342.713,30,22.05,short
2025-07-17 22:00:00+00:00,2025-07-17 22:05:00+00:00,3341.3,3340.26,30,-31.2,long
2025-07-17 22:35:00+00:00,2025-07-17 22:40:00+00:00,3342.54,3342.99,30,13.5,long
2025-07-18 05:30:00+00:00,2025-07-18 05:35:00+00:00,3335.42,3336.83,30,-42.3,short
2025-07-18 09:05:00+00:00,2025-07-18 09:10:00+00:00,3351.963,3352.09,30,3.81,long
2025-07-18 13:30:00+00:00,2025-07-18 13:50:00+00:00,3356.03,3354.58,30,43.5,short
2025-07-21 01:05:00+00:00,2025-07-21 01:10:00+00:00,3357.25,3356.855,30,-11.85,long
2025-07-21 05:10:00+00:00,2025-07-21 05:30:00+00:00,3362.84,3368.993,30,184.59,long
2025-07-21 13:45:00+00:00,2025-07-21 13:50:00+00:00,3391.08,3389.662,29,-41.12,long
2025-07-21 23:35:00+00:00,2025-07-21 23:45:00+00:00,3394.77,3395.85,29,-31.32,short
2025-07-22 12:20:00+00:00,2025-07-22 12:50:00+00:00,3400.016,3403.716,29,107.3,long
2025-07-22 23:10:00+00:00,2025-07-22 23:15:00+00:00,3431.76,3428.59,29,-91.93,long
2025-07-23 00:20:00+00:00,2025-07-23 00:25:00+00:00,3437.592,3432.098,29,-159.33,long
2025-07-23 01:00:00+00:00,2025-07-23 01:10:00+00:00,3424.68,3425.726,29,-30.33,short
2025-07-23 12:20:00+00:00,2025-07-23 12:25:00+00:00,3425.26,3425.742,29,-13.98,short
2025-07-23 13:00:00+00:00,2025-07-23 13:05:00+00:00,3414.24,3415.4,29,-33.64,short
2025-07-23 13:20:00+00:00,2025-07-23 13:40:00+00:00,3411.03,3412.295,29,-36.68,short
2025-07-23 15:55:00+00:00,2025-07-23 16:10:00+00:00,3398.186,3387.862,29,299.4,short
2025-07-24 02:10:00+00:00,2025-07-24 02:15:00+00:00,3382.09,3387.046,29,-143.72,short
2025-07-24 03:05:00+00:00,2025-07-24 03:10:00+00:00,3377.99,3379.15,29,-33.64,short
2025-07-24 12:45:00+00:00,2025-07-24 12:50:00+00:00,3354.27,3354.64,30,-11.1,short
2025-07-24 13:45:00+00:00,2025-07-24 13:50:00+00:00,3371.57,3368.645,29,-84.83,long
2025-07-25 01:05:00+00:00,2025-07-25 01:10:00+00:00,3369.323,3369.993,29,-19.43,short
2025-07-25 08:25:00+00:00,2025-07-25 08:30:00+00:00,3345.385,3347.66,30,-68.25,short
2025-07-27 22:05:00+00:00,2025-07-27 22:10:00+00:00,3334.46,3332.8,30,-49.8,long
2025-07-28 01:00:00+00:00,2025-07-28 01:10:00+00:00,3336.077,3335.003,30,-32.22,long
2025-07-28 13:30:00+00:00,2025-07-28 13:35:00+00:00,3324.38,3325.89,30,-45.3,short
2025-07-28 13:45:00+00:00,2025-07-28 14:10:00+00:00,3317.7,3308.554,30,274.38,short
2025-07-29 13:30:00+00:00,2025-07-29 13:35:00+00:00,3315.114,3316.82,30,-51.18,short
2025-07-30 00:00:00+00:00,2025-07-30 00:05:00+00:00,3329.95,3328.63,30,-39.6,long
2025-07-30 07:00:00+00:00,2025-07-30 07:15:00+00:00,3329.537,3330.16,30,18.69,long
