entry_date,exit_date,entry_price,exit_price,size,pnl,direction
2025-09-08 14:45:00+00:00,2025-09-08 14:50:00+00:00,3637.085,3636.2965,27,-40.93,long
2025-09-08 14:50:00+00:00,2025-09-08 15:15:00+00:00,3639.01,3643.41122,27,99.17,long
2025-09-08 15:25:00+00:00,2025-09-08 15:45:00+00:00,3636.128,3636.7513,27,-36.47,short
2025-09-08 17:05:00+00:00,2025-09-08 17:15:00+00:00,3635.69,3635.9083,27,-25.53,short
2025-09-08 22:30:00+00:00,2025-09-08 22:45:00+00:00,3628.828,3630.61544,27,-67.86,short
2025-09-09 00:15:00+00:00,2025-09-09 00:25:00+00:00,3638.825,3637.5921000000003,27,-52.93,long
2025-09-09 01:15:00+00:00,2025-09-09 01:25:00+00:00,3642.68,3641.5998999999997,27,-48.83,long
2025-09-09 02:05:00+00:00,2025-09-09 02:35:00+00:00,3652.94,3651.7686000000003,27,-51.35,long
2025-09-09 06:00:00+00:00,2025-09-09 06:10:00+00:00,3650.87,3638.082557272174,27,325.58,short
2025-09-09 06:40:00+00:00,2025-09-09 06:45:00+00:00,3649.71,3647.1846,27,-87.89,long
2025-09-09 07:45:00+00:00,2025-09-09 07:50:00+00:00,3644.54,3645.05688,27,-33.64,short
2025-09-09 09:10:00+00:00,2025-09-09 09:25:00+00:00,3655.414,3654.0089,27,-57.67,long
2025-09-09 13:00:00+00:00,2025-09-09 13:05:00+00:00,3652.784,3649.2673999999997,27,-114.66,long
2025-09-09 13:25:00+00:00,2025-09-09 13:30:00+00:00,3660.215,3658.1675,27,-75.04,long
2025-09-09 13:30:00+00:00,2025-09-09 13:40:00+00:00,3663.704,3662.8919,27,-41.71,long
2025-09-09 14:00:00+00:00,2025-09-09 14:05:00+00:00,3660.16,3644.814789384505,27,394.6,short
2025-09-09 14:05:00+00:00,2025-09-09 14:15:00+00:00,3648.535,3652.5787,27,-128.89,short
2025-09-09 15:10:00+00:00,2025-09-09 15:20:00+00:00,3635.04,3636.31644,27,-54.1,short
2025-09-09 22:45:00+00:00,2025-09-09 23:05:00+00:00,3631.7,3634.61542,27,59.1,long
2025-09-10 00:50:00+00:00,2025-09-10 00:55:00+00:00,3622.004,3623.2941,27,-54.4,short
2025-09-10 09:40:00+00:00,2025-09-10 10:00:00+00:00,3650.944,3654.2088,27,68.43,long
2025-09-10 11:40:00+00:00,2025-09-10 11:45:00+00:00,3649.09,3650.5645,27,-59.52,short
2025-09-10 12:30:00+00:00,2025-09-10 12:35:00+00:00,3651.96,3649.49476,27,-86.28,long
2025-09-10 14:45:00+00:00,2025-09-10 14:55:00+00:00,3644.835,3647.00792,27,-78.36,short
2025-09-10 15:20:00+00:00,2025-09-10 15:30:00+00:00,3640.255,3644.6331000000005,27,-137.88,short
2025-09-10 16:00:00+00:00,2025-09-10 16:15:00+00:00,3643.46,3643.9051,27,-31.69,short
2025-09-10 19:20:00+00:00,2025-09-10 19:25:00+00:00,3640.19,3640.8675,27,-37.95,short
2025-09-10 22:15:00+00:00,2025-09-10 22:20:00+00:00,3638.38,3639.3936200000003,27,-47.02,short
2025-09-11 01:45:00+00:00,2025-09-11 01:50:00+00:00,3641.065,3642.5413,27,-59.53,short
2025-09-11 03:05:00+00:00,2025-09-11 03:10:00+00:00,3632.38,3634.6463000000003,27,-80.81,short
2025-09-11 07:00:00+00:00,2025-09-11 07:25:00+00:00,3629.644,3627.99464,27,24.94,short
2025-09-11 09:00:00+00:00,2025-09-11 09:30:00+00:00,3623.26,3618.8927,27,98.36,short
2025-09-11 11:40:00+00:00,2025-09-11 11:45:00+00:00,3615.7,3617.2634999999996,27,-61.74,short
2025-09-11 12:20:00+00:00,2025-09-11 12:25:00+00:00,3624.37,3621.5624,27,-95.37,long
2025-09-11 12:30:00+00:00,2025-09-11 12:40:00+00:00,3638.95,3635.6522,27,-108.68,long
2025-09-11 13:15:00+00:00,2025-09-11 13:20:00+00:00,3624.955,3629.9499399999995,27,-154.45,short
2025-09-11 14:15:00+00:00,2025-09-11 14:20:00+00:00,3636.595,3634.3882999999996,27,-79.21,long
2025-09-11 14:40:00+00:00,2025-09-11 14:45:00+00:00,3626.921,3629.336,27,-84.8,short
2025-09-11 15:20:00+00:00,2025-09-11 15:25:00+00:00,3638.66,3637.1594,27,-60.16,long
2025-09-11 16:05:00+00:00,2025-09-11 16:15:00+00:00,3639.51,3638.70776,27,-41.31,long
2025-09-12 00:50:00+00:00,2025-09-12 00:55:00+00:00,3636.855,3635.8619,27,-46.45,long
2025-09-12 01:00:00+00:00,2025-09-12 01:05:00+00:00,3639.84,3637.96556,27,-70.26,long
2025-09-12 01:10:00+00:00,2025-09-12 01:15:00+00:00,3642.83,3641.56896,27,-53.72,long
2025-09-12 08:10:00+00:00,2025-09-12 08:25:00+00:00,3643.495,3645.4851,27,-73.41,short
2025-09-12 08:50:00+00:00,2025-09-12 08:55:00+00:00,3640.01,3641.056,27,-47.9,short
2025-09-12 09:25:00+00:00,2025-09-12 09:30:00+00:00,3646.31,3644.9208,27,-57.19,long
2025-09-12 12:30:00+00:00,2025-09-12 12:40:00+00:00,3639.09,3641.4297,27,-82.83,short
2025-09-12 12:50:00+00:00,2025-09-12 13:00:00+00:00,3644.11,3643.77996,26,-27.53,long
2025-09-12 13:00:00+00:00,2025-09-12 13:15:00+00:00,3647.49,3647.6517999999996,26,-14.76,long
2025-09-12 15:10:00+00:00,2025-09-12 15:15:00+00:00,3644.0,3645.1831,26,-49.71,short
2025-09-14 22:20:00+00:00,2025-09-14 22:25:00+00:00,3641.085,3642.1369,26,-46.29,short
2025-09-15 00:35:00+00:00,2025-09-15 00:55:00+00:00,3633.71,3633.9658999999997,27,-26.53,short
2025-09-15 01:00:00+00:00,2025-09-15 01:25:00+00:00,3630.81,3631.1070999999997,27,-27.63,short
2025-09-15 02:05:00+00:00,2025-09-15 02:30:00+00:00,3639.38,3642.7164,26,67.81,long
2025-09-15 02:55:00+00:00,2025-09-15 03:05:00+00:00,3640.96,3641.6753,26,-37.53,short
2025-09-15 06:45:00+00:00,2025-09-15 07:05:00+00:00,3638.47,3636.9027,26,21.83,short
