entry_date,exit_date,entry_price,exit_price,size,pnl,direction
2025-06-30 09:05:00+00:00,2025-06-30 09:10:00+00:00,3281.624,3282.9,30,-38.28,short
2025-06-30 09:30:00+00:00,2025-06-30 09:35:00+00:00,3279.47,3283.797,30,-129.81,short
2025-06-30 12:20:00+00:00,2025-06-30 12:25:00+00:00,3284.849,3284.39,30,-13.77,long
2025-06-30 19:15:00+00:00,2025-06-30 19:20:00+00:00,3306.15,3304.93,30,-36.6,long
2025-06-30 22:50:00+00:00,2025-06-30 22:55:00+00:00,3311.94,3311.42,30,-15.6,long
2025-07-01 01:40:00+00:00,2025-07-01 01:45:00+00:00,3319.71,3320.37,30,19.8,long
2025-07-01 01:50:00+00:00,2025-07-01 01:55:00+00:00,3316.77,3317.72,30,-28.5,short
2025-07-01 05:10:00+00:00,2025-07-01 05:30:00+00:00,3328.293,3331.476,29,92.31,long
2025-07-01 22:00:00+00:00,2025-07-01 22:05:00+00:00,3339.91,3337.83,29,-60.32,long
2025-07-01 23:00:00+00:00,2025-07-01 23:05:00+00:00,3337.186,3338.12,29,-27.09,short
2025-07-02 00:00:00+00:00,2025-07-02 00:05:00+00:00,3336.94,3342.406,29,-158.51,short
2025-07-02 05:30:00+00:00,2025-07-02 05:50:00+00:00,3339.973,3337.76,29,64.18,short
2025-07-02 07:45:00+00:00,2025-07-02 07:50:00+00:00,3336.263,3335.74,29,-15.17,long
2025-07-02 12:15:00+00:00,2025-07-02 12:25:00+00:00,3346.593,3346.51,29,-2.41,long
2025-07-02 13:45:00+00:00,2025-07-02 14:00:00+00:00,3337.095,3336.67,29,12.32,short
2025-07-02 23:00:00+00:00,2025-07-02 23:05:00+00:00,3359.08,3357.843,29,35.87,short
2025-07-03 00:00:00+00:00,2025-07-03 00:10:00+00:00,3345.95,3346.19,29,-6.96,short
2025-07-03 05:50:00+00:00,2025-07-03 05:55:00+00:00,3359.953,3359.23,29,-20.97,long
2025-07-03 06:00:00+00:00,2025-07-03 06:05:00+00:00,3363.54,3360.36,29,-92.22,long
2025-07-03 12:10:00+00:00,2025-07-03 12:25:00+00:00,3347.68,3349.027,29,39.06,long
2025-07-03 12:30:00+00:00,2025-07-03 12:50:00+00:00,3327.965,3321.32,29,192.7,short
2025-07-03 22:00:00+00:00,2025-07-03 22:05:00+00:00,3324.573,3324.56,30,0.39,short
2025-07-04 07:10:00+00:00,2025-07-04 07:20:00+00:00,3338.913,3339.11,29,-5.71,short
2025-07-04 09:30:00+00:00,2025-07-04 09:45:00+00:00,3334.86,3336.07,29,-35.09,short
2025-07-06 22:00:00+00:00,2025-07-06 22:05:00+00:00,3341.38,3337.87,29,-101.79,long
2025-07-07 01:00:00+00:00,2025-07-07 01:25:00+00:00,3323.323,3312.09,29,325.76,short
2025-07-07 07:10:00+00:00,2025-07-07 07:15:00+00:00,3311.09,3311.38,30,8.7,long
2025-07-07 10:40:00+00:00,2025-07-07 10:45:00+00:00,3298.45,3302.854,30,-132.12,short
2025-07-07 11:05:00+00:00,2025-07-07 11:10:00+00:00,3305.645,3304.59,30,-31.65,long
2025-07-07 12:20:00+00:00,2025-07-07 12:25:00+00:00,3305.326,3302.694,30,-78.96,long
2025-07-07 22:05:00+00:00,2025-07-07 22:10:00+00:00,3342.682,3344.213,29,44.4,long
2025-07-08 01:05:00+00:00,2025-07-08 01:15:00+00:00,3331.56,3331.86,29,-8.7,short
2025-07-08 08:05:00+00:00,2025-07-08 08:10:00+00:00,3328.73,3327.87,29,24.94,short
2025-07-08 11:35:00+00:00,2025-07-08 11:45:00+00:00,3321.4,3322.94,30,-46.2,short
2025-07-08 13:45:00+00:00,2025-07-08 14:20:00+00:00,3316.09,3301.49,30,438.0,short
2025-07-08 23:40:00+00:00,2025-07-08 23:45:00+00:00,3298.066,3300.72,30,-79.62,short
2025-07-09 00:00:00+00:00,2025-07-09 00:05:00+00:00,3306.29,3305.91,30,-11.4,long
2025-07-09 02:50:00+00:00,2025-07-09 02:55:00+00:00,3292.3,3288.175,30,-123.75,long
2025-07-09 05:05:00+00:00,2025-07-09 05:10:00+00:00,3297.53,3296.31,30,-36.6,long
2025-07-09 19:00:00+00:00,2025-07-09 19:20:00+00:00,3315.02,3315.548,30,15.84,long
2025-07-09 23:00:00+00:00,2025-07-09 23:05:00+00:00,3317.89,3317.68,30,6.3,short
2025-07-10 06:20:00+00:00,2025-07-10 06:25:00+00:00,3324.65,3324.82,30,-5.1,short
2025-07-10 13:00:00+00:00,2025-07-10 13:05:00+00:00,3326.855,3326.02,30,-25.05,long
2025-07-10 13:40:00+00:00,2025-07-10 14:05:00+00:00,3321.11,3315.7,30,162.3,short
2025-07-10 22:00:00+00:00,2025-07-10 22:10:00+00:00,3325.498,3325.29,30,-6.24,long
2025-07-10 23:50:00+00:00,2025-07-10 23:55:00+00:00,3324.94,3323.69,30,37.5,short
2025-07-11 00:30:00+00:00,2025-07-11 00:45:00+00:00,3332.36,3334.12,30,52.8,long
2025-07-11 05:20:00+00:00,2025-07-11 05:30:00+00:00,3338.79,3337.523,30,-38.01,long
2025-07-11 06:15:00+00:00,2025-07-11 06:30:00+00:00,3341.62,3341.435,29,-5.36,long
2025-07-11 08:50:00+00:00,2025-07-11 09:05:00+00:00,3333.105,3334.51,30,-42.15,short
2025-07-11 13:20:00+00:00,2025-07-11 13:25:00+00:00,3350.91,3353.17,29,-65.54,short
2025-07-13 22:00:00+00:00,2025-07-13 22:05:00+00:00,3360.41,3361.37,29,27.84,long
2025-07-13 22:10:00+00:00,2025-07-13 22:15:00+00:00,3365.95,3365.81,29,-4.06,long
2025-07-13 22:30:00+00:00,2025-07-13 22:40:00+00:00,3367.406,3369.643,29,-64.87,short
2025-07-13 23:20:00+00:00,2025-07-13 23:25:00+00:00,3367.93,3368.43,29,-14.5,short
2025-07-14 07:10:00+00:00,2025-07-14 07:15:00+00:00,3367.56,3370.75,29,-92.51,short
2025-07-14 12:20:00+00:00,2025-07-14 12:45:00+00:00,3359.77,3350.046,29,282.0,short
2025-07-15 00:45:00+00:00,2025-07-15 00:50:00+00:00,3347.33,3346.69,29,-18.56,long
2025-07-15 01:40:00+00:00,2025-07-15 01:45:00+00:00,3346.703,3347.61,29,-26.3,short
2025-07-15 02:05:00+00:00,2025-07-15 02:25:00+00:00,3348.89,3350.13,29,35.96,long
2025-07-15 08:15:00+00:00,2025-07-15 08:30:00+00:00,3358.648,3361.333,29,-77.86,short
2025-07-15 12:20:00+00:00,2025-07-15 12:25:00+00:00,3355.1,3354.35,29,-21.75,long
2025-07-15 12:30:00+00:00,2025-07-15 12:45:00+00:00,3353.173,3354.08,29,-26.3,short
2025-07-15 15:25:00+00:00,2025-07-15 15:40:00+00:00,3334.085,3331.229,30,85.68,short
2025-07-15 22:00:00+00:00,2025-07-15 22:05:00+00:00,3326.08,3327.5,30,42.6,long
2025-07-16 10:55:00+00:00,2025-07-16 11:00:00+00:00,3334.843,3334.565,30,8.34,short
2025-07-16 12:15:00+00:00,2025-07-16 12:20:00+00:00,3334.96,3336.15,30,-35.7,short
2025-07-16 12:30:00+00:00,2025-07-16 12:35:00+00:00,3336.99,3334.84,30,-64.5,long
2025-07-16 14:50:00+00:00,2025-07-16 15:15:00+00:00,3335.346,3369.49,30,1024.32,long
2025-07-16 15:30:00+00:00,2025-07-16 15:35:00+00:00,3373.615,3367.92,29,-165.15,long
2025-07-16 15:55:00+00:00,2025-07-16 16:00:00+00:00,3343.448,3342.713,30,22.05,short
2025-07-16 22:00:00+00:00,2025-07-16 22:05:00+00:00,3350.68,3349.173,30,-45.21,long
2025-07-17 01:30:00+00:00,2025-07-17 01:35:00+00:00,3338.07,3340.91,30,-85.2,short
2025-07-17 06:10:00+00:00,2025-07-17 06:15:00+00:00,3332.997,3333.263,30,-7.98,short
2025-07-17 12:30:00+00:00,2025-07-17 12:35:00+00:00,3317.963,3317.5,30,13.89,short
2025-07-17 22:00:00+00:00,2025-07-17 22:05:00+00:00,3341.3,3340.26,30,-31.2,long
2025-07-17 22:35:00+00:00,2025-07-17 22:40:00+00:00,3342.54,3342.99,30,13.5,long
2025-07-18 01:00:00+00:00,2025-07-18 01:10:00+00:00,3338.943,3339.32,30,-11.31,short
2025-07-18 05:30:00+00:00,2025-07-18 05:35:00+00:00,3335.42,3336.83,30,-42.3,short
2025-07-18 06:10:00+00:00,2025-07-18 06:40:00+00:00,3337.13,3338.51,30,41.4,long
2025-07-18 09:05:00+00:00,2025-07-18 09:10:00+00:00,3351.963,3352.09,30,3.81,long
2025-07-18 12:00:00+00:00,2025-07-18 12:05:00+00:00,3358.17,3357.733,30,-13.11,long
2025-07-18 13:30:00+00:00,2025-07-18 13:50:00+00:00,3356.03,3354.58,30,43.5,short
2025-07-21 01:05:00+00:00,2025-07-21 01:10:00+00:00,3357.25,3356.855,30,-11.85,long
2025-07-21 05:10:00+00:00,2025-07-21 05:30:00+00:00,3362.84,3368.993,29,178.44,long
2025-07-21 13:45:00+00:00,2025-07-21 13:50:00+00:00,3391.08,3389.662,29,-41.12,long
2025-07-21 23:30:00+00:00,2025-07-21 23:45:00+00:00,3399.41,3395.85,29,103.24,short
2025-07-22 00:00:00+00:00,2025-07-22 00:05:00+00:00,3391.84,3391.85,29,-0.29,short
2025-07-22 12:20:00+00:00,2025-07-22 12:50:00+00:00,3400.016,3403.716,29,107.3,long
2025-07-22 23:10:00+00:00,2025-07-22 23:15:00+00:00,3431.76,3428.59,29,-91.93,long
2025-07-23 00:00:00+00:00,2025-07-23 00:25:00+00:00,3430.786,3432.098,29,38.05,long
2025-07-23 01:00:00+00:00,2025-07-23 01:10:00+00:00,3424.68,3425.726,29,-30.33,short
2025-07-23 12:20:00+00:00,2025-07-23 12:25:00+00:00,3425.26,3425.742,29,-13.98,short
2025-07-23 13:00:00+00:00,2025-07-23 13:05:00+00:00,3414.24,3415.4,29,-33.64,short
2025-07-23 13:20:00+00:00,2025-07-23 13:40:00+00:00,3411.03,3412.295,29,-36.68,short
2025-07-23 15:55:00+00:00,2025-07-23 16:10:00+00:00,3398.186,3387.862,29,299.4,short
2025-07-24 00:05:00+00:00,2025-07-24 00:10:00+00:00,3389.78,3390.23,29,-13.05,short
2025-07-24 01:05:00+00:00,2025-07-24 01:10:00+00:00,3388.87,3389.805,29,-27.11,short
2025-07-24 02:10:00+00:00,2025-07-24 02:15:00+00:00,3382.09,3387.046,29,-143.72,short
2025-07-24 03:05:00+00:00,2025-07-24 03:10:00+00:00,3377.99,3379.15,29,-33.64,short
2025-07-24 06:30:00+00:00,2025-07-24 06:45:00+00:00,3375.622,3374.72,29,-26.16,long
2025-07-24 12:45:00+00:00,2025-07-24 12:50:00+00:00,3354.27,3354.64,30,-11.1,short
2025-07-24 13:45:00+00:00,2025-07-24 13:50:00+00:00,3371.57,3368.645,29,-84.83,long
2025-07-25 01:05:00+00:00,2025-07-25 01:10:00+00:00,3369.323,3369.993,29,-19.43,short
2025-07-25 08:25:00+00:00,2025-07-25 08:30:00+00:00,3345.385,3347.66,30,-68.25,short
2025-07-25 14:15:00+00:00,2025-07-25 14:20:00+00:00,3336.203,3338.103,30,-57.0,short
2025-07-27 22:00:00+00:00,2025-07-27 22:15:00+00:00,3329.56,3332.125,30,76.95,long
2025-07-28 01:00:00+00:00,2025-07-28 01:10:00+00:00,3336.077,3335.003,30,-32.22,long
2025-07-28 13:30:00+00:00,2025-07-28 13:35:00+00:00,3324.38,3325.89,30,-45.3,short
2025-07-28 13:45:00+00:00,2025-07-28 14:10:00+00:00,3317.7,3308.554,30,274.38,short
2025-07-28 22:00:00+00:00,2025-07-28 22:05:00+00:00,3314.03,3312.4,30,-48.9,long
2025-07-29 00:00:00+00:00,2025-07-29 00:05:00+00:00,3313.565,3310.303,30,-97.86,long
2025-07-29 06:55:00+00:00,2025-07-29 07:00:00+00:00,3316.82,3318.03,30,-36.3,short
2025-07-29 08:00:00+00:00,2025-07-29 08:30:00+00:00,3321.99,3327.873,30,176.49,long
2025-07-29 12:20:00+00:00,2025-07-29 12:25:00+00:00,3322.54,3321.84,30,-21.0,long
2025-07-29 13:30:00+00:00,2025-07-29 13:35:00+00:00,3315.114,3316.82,30,-51.18,short
2025-07-30 00:00:00+00:00,2025-07-30 00:05:00+00:00,3329.95,3328.63,30,-39.6,long
2025-07-30 00:50:00+00:00,2025-07-30 00:55:00+00:00,3329.92,3330.2,30,-8.4,short
2025-07-30 05:25:00+00:00,2025-07-30 05:30:00+00:00,3326.365,3328.27,30,-57.15,short
2025-07-30 07:00:00+00:00,2025-07-30 07:15:00+00:00,3329.537,3330.16,30,18.69,long
2025-07-30 07:20:00+00:00,2025-07-30 07:30:00+00:00,3327.16,3326.566,30,17.82,short
2025-07-30 12:30:00+00:00,2025-07-30 12:35:00+00:00,3323.637,3324.2,30,-16.89,short
2025-07-30 12:50:00+00:00,2025-07-30 13:00:00+00:00,3313.646,3311.59,30,61.68,short
2025-07-30 15:20:00+00:00,2025-07-30 15:25:00+00:00,3293.294,3292.53,30,22.92,short
2025-07-30 18:00:00+00:00,2025-07-30 18:05:00+00:00,3300.46,3301.72,30,37.8,long
2025-07-30 18:30:00+00:00,2025-07-30 19:10:00+00:00,3296.78,3275.27,30,645.3,short
2025-07-31 07:45:00+00:00,2025-07-31 07:50:00+00:00,3306.486,3306.04,30,-13.38,long
2025-07-31 08:15:00+00:00,2025-07-31 08:25:00+00:00,3312.163,3310.478,30,-50.55,long
2025-07-31 12:30:00+00:00,2025-07-31 12:50:00+00:00,3309.19,3308.39,30,-24.0,long
2025-07-31 14:15:00+00:00,2025-07-31 14:40:00+00:00,3297.54,3297.5,30,1.2,short
2025-07-31 22:00:00+00:00,2025-07-31 22:05:00+00:00,3291.55,3291.05,30,-15.0,long
2025-08-01 00:40:00+00:00,2025-08-01 00:45:00+00:00,3292.79,3291.85,30,-28.2,long
2025-08-01 01:50:00+00:00,2025-08-01 01:55:00+00:00,3282.303,3283.67,30,-41.01,short
2025-08-01 02:00:00+00:00,2025-08-01 02:20:00+00:00,3288.68,3289.38,30,21.0,long
2025-08-01 10:50:00+00:00,2025-08-01 10:55:00+00:00,3299.44,3298.23,30,-36.3,long
2025-08-01 12:30:00+00:00,2025-08-01 12:50:00+00:00,3328.05,3339.71,30,349.8,long
2025-08-01 19:30:00+00:00,2025-08-01 19:45:00+00:00,3356.565,3361.01,30,133.35,long
2025-08-03 22:00:00+00:00,2025-08-03 22:05:00+00:00,3364.28,3363.37,30,-27.3,long
2025-08-04 06:10:00+00:00,2025-08-04 06:15:00+00:00,3359.006,3357.82,30,-35.58,long
2025-08-04 10:20:00+00:00,2025-08-04 10:25:00+00:00,3353.43,3356.248,30,-84.54,short
2025-08-04 11:05:00+00:00,2025-08-04 11:35:00+00:00,3361.55,3365.81,30,127.8,long
2025-08-04 13:00:00+00:00,2025-08-04 13:05:00+00:00,3372.19,3371.566,30,-18.72,long
2025-08-04 13:45:00+00:00,2025-08-04 14:00:00+00:00,3381.55,3380.248,30,-39.06,long
2025-08-04 22:00:00+00:00,2025-08-04 22:05:00+00:00,3376.08,3375.52,30,-16.8,long
2025-08-04 23:00:00+00:00,2025-08-04 23:35:00+00:00,3376.93,3377.256,30,9.78,long
2025-08-05 09:50:00+00:00,2025-08-05 10:00:00+00:00,3360.757,3361.06,30,-9.09,short
2025-08-05 10:05:00+00:00,2025-08-05 10:20:00+00:00,3356.82,3357.437,30,-18.51,short
2025-08-05 13:30:00+00:00,2025-08-05 13:45:00+00:00,3375.966,3377.38,30,42.42,long
2025-08-05 14:00:00+00:00,2025-08-05 14:05:00+00:00,3376.28,3374.81,30,-44.1,long
2025-08-06 00:40:00+00:00,2025-08-06 00:50:00+00:00,3382.733,3382.54,30,5.79,short
2025-08-06 01:00:00+00:00,2025-08-06 01:30:00+00:00,3381.423,3378.7,30,81.69,short
2025-08-06 12:50:00+00:00,2025-08-06 12:55:00+00:00,3368.61,3367.423,30,-35.61,long
2025-08-06 13:30:00+00:00,2025-08-06 13:35:00+00:00,3366.683,3366.78,30,-2.91,short
2025-08-06 13:50:00+00:00,2025-08-06 13:55:00+00:00,3373.09,3371.66,30,-42.9,long
2025-08-06 15:40:00+00:00,2025-08-06 16:00:00+00:00,3375.285,3377.933,30,79.44,long
2025-08-06 22:00:00+00:00,2025-08-06 22:10:00+00:00,3372.15,3371.428,30,-21.66,long
2025-08-07 00:00:00+00:00,2025-08-07 00:05:00+00:00,3367.048,3368.05,30,-30.06,short
2025-08-07 05:30:00+00:00,2025-08-07 05:50:00+00:00,3374.82,3373.26,30,46.8,short
2025-08-07 06:40:00+00:00,2025-08-07 07:05:00+00:00,3385.32,3387.91,30,77.7,long
2025-08-07 08:00:00+00:00,2025-08-07 08:35:00+00:00,3392.24,3377.84,30,432.0,short
2025-08-07 12:30:00+00:00,2025-08-07 12:35:00+00:00,3388.01,3385.396,30,-78.42,long
