time,open,high,low,close
2025-09-07T18:00:00-04:00,3586,3593.14,3577.614,3592.1
2025-09-07T18:05:00-04:00,3591.24,3596.791,3590.19,3593.898
2025-09-07T18:10:00-04:00,3594.084,3595.42,3589.32,3590.398
2025-09-07T18:15:00-04:00,3590.571,3594.181,3586.435,3593.191
2025-09-07T18:20:00-04:00,3593.19,3594.671,3591.935,3592.74
2025-09-07T18:25:00-04:00,3592.605,3595.111,3591.75,3593.444
2025-09-07T18:30:00-04:00,3593.215,3595.011,3592.435,3592.9
2025-09-07T18:35:00-04:00,3593.05,3593.191,3589.84,3591.15
2025-09-07T18:40:00-04:00,3591.151,3593.93,3590.945,3592.9
2025-09-07T18:45:00-04:00,3592.9,3593.12,3591.198,3592.78
2025-09-07T18:50:00-04:00,3592.78,3593.88,3590.505,3591.99
2025-09-07T18:55:00-04:00,3592.175,3592.79,3590.868,3592.24
2025-09-07T19:00:00-04:00,3592.044,3593.61,3590.175,3591.01
2025-09-07T19:05:00-04:00,3591.01,3593.52,3590.685,3592.05
2025-09-07T19:10:00-04:00,3591.878,3592.201,3588.245,3588.59
2025-09-07T19:15:00-04:00,3588.631,3590.831,3588.25,3589.884
2025-09-07T19:20:00-04:00,3589.86,3591.14,3589.385,3589.54
2025-09-07T19:25:00-04:00,3589.71,3590.114,3587.375,3589.32
2025-09-07T19:30:00-04:00,3589.51,3591.175,3588.9,3590.464
2025-09-07T19:35:00-04:00,3590.21,3591.324,3589.275,3590.73
2025-09-07T19:40:00-04:00,3590.87,3591.37,3589.485,3591.08
2025-09-07T19:45:00-04:00,3590.6,3592.2,3589.098,3591.56
2025-09-07T19:50:00-04:00,3591.51,3594.02,3591.448,3592.21
2025-09-07T19:55:00-04:00,3592.21,3593.64,3590.625,3590.798
2025-09-07T20:00:00-04:00,3591.02,3591.37,3587.448,3587.96
2025-09-07T20:05:00-04:00,3587.54,3590.76,3586.805,3589.1
2025-09-07T20:10:00-04:00,3589.35,3589.64,3586.575,3589.281
2025-09-07T20:15:00-04:00,3589.195,3590.73,3587.405,3589.255
2025-09-07T20:20:00-04:00,3589.28,3590.86,3587.155,3589.92
2025-09-07T20:25:00-04:00,3589.64,3591.64,3589.305,3589.69
2025-09-07T20:30:00-04:00,3589.691,3589.801,3587.025,3587.59
2025-09-07T20:35:00-04:00,3587.74,3589.74,3587.055,3589.1
2025-09-07T20:40:00-04:00,3589.111,3590.23,3588.495,3590.04
2025-09-07T20:45:00-04:00,3590.04,3590.484,3587.385,3588.72
2025-09-07T20:50:00-04:00,3588.575,3592.66,3588.2,3592.28
2025-09-07T20:55:00-04:00,3592.34,3594.45,3591.77,3594.31
2025-09-07T21:00:00-04:00,3594.31,3597.104,3591.025,3594.9
2025-09-07T21:05:00-04:00,3594.9,3595.52,3587.065,3587.56
2025-09-07T21:10:00-04:00,3587.581,3590.43,3585.275,3589.44
2025-09-07T21:15:00-04:00,3589.415,3589.82,3584.475,3585.38
2025-09-07T21:20:00-04:00,3585.544,3589,3584.525,3588.24
2025-09-07T21:25:00-04:00,3588.115,3590.45,3585.675,3585.85
2025-09-07T21:30:00-04:00,3585.87,3590.11,3585.405,3587.415
2025-09-07T21:35:00-04:00,3587.78,3589.71,3585.665,3587.6
2025-09-07T21:40:00-04:00,3587.601,3589.14,3585.835,3587.42
2025-09-07T21:45:00-04:00,3587.41,3588.54,3586.095,3586.97
2025-09-07T21:50:00-04:00,3586.378,3589.68,3586.375,3588.89
2025-09-07T21:55:00-04:00,3588.811,3591.344,3588.048,3589.45
2025-09-07T22:00:00-04:00,3589.45,3594.4,3588.585,3591.1
2025-09-07T22:05:00-04:00,3591.171,3593.51,3589.48,3590.51
2025-09-07T22:10:00-04:00,3590.35,3590.515,3586.225,3587.77
2025-09-07T22:15:00-04:00,3587.88,3588.701,3586.175,3588.52
2025-09-07T22:20:00-04:00,3588.52,3591.18,3587.715,3590.57
2025-09-07T22:25:00-04:00,3590.56,3591.02,3589.095,3590.04
2025-09-07T22:30:00-04:00,3590.1,3592.5,3588.105,3592.061
2025-09-07T22:35:00-04:00,3592.07,3592.16,3589.185,3590.85
2025-09-07T22:40:00-04:00,3590.92,3591.524,3586.985,3587.34
2025-09-07T22:45:00-04:00,3587.33,3590.09,3586.175,3589.44
2025-09-07T22:50:00-04:00,3589.44,3591.9,3588.448,3589.99
2025-09-07T22:55:00-04:00,3590,3592.56,3589.705,3590.63
2025-09-07T23:00:00-04:00,3590.5,3592.24,3589.71,3591.13
2025-09-07T23:05:00-04:00,3591.13,3591.96,3589.615,3590.41
2025-09-07T23:10:00-04:00,3590.46,3590.57,3586.875,3587.26
2025-09-07T23:15:00-04:00,3587.281,3588.5,3586.165,3588.06
2025-09-07T23:20:00-04:00,3588.02,3588.82,3586.89,3587.5
2025-09-07T23:25:00-04:00,3587.21,3587.7,3584.525,3584.99
2025-09-07T23:30:00-04:00,3584.82,3586.63,3584.075,3586.375
2025-09-07T23:35:00-04:00,3586.48,3587.01,3584.725,3585.73
2025-09-07T23:40:00-04:00,3586.024,3586.43,3583.655,3584.12
